"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3287","TC.005 - Login with empty username","","Fri Mar 21 23:46:42 WIB 2025","passed","Fri Mar 21 23:46:45 WIB 2025","Technical Login Tests","login.test.js","",""
"","6146","TC.003 - Login with wrong password","","Fri Mar 21 23:46:29 WIB 2025","passed","Fri Mar 21 23:46:35 WIB 2025","Technical Login Tests","login.test.js","",""
"","6367","TC.008 - Login with special character in username","","Fri Mar 21 23:47:03 WIB 2025","passed","Fri Mar 21 23:47:10 WIB 2025","Technical Login Tests","login.test.js","",""
"","3346","TC.007 - Login with empty username and password","","Fri Mar 21 23:46:58 WIB 2025","failed","Fri Mar 21 23:47:02 WIB 2025","Technical Login Tests","login.test.js","",""
"","34847","TC.012 - Login until get expired token","","Fri Mar 21 23:48:35 WIB 2025","broken","Fri Mar 21 23:49:10 WIB 2025","Technical Login Tests","login.test.js","",""
"","6676","TC.011 - Login Looping invalid Password (Brute Force)","","Fri Mar 21 23:47:22 WIB 2025","passed","Fri Mar 21 23:47:29 WIB 2025","Technical Login Tests","login.test.js","",""
"","3973","TC.006 - Login with empty password","","Fri Mar 21 23:46:45 WIB 2025","passed","Fri Mar 21 23:46:49 WIB 2025","Technical Login Tests","login.test.js","",""
"","3609","TC.001 - Login with valid credentials","","Fri Mar 21 23:46:19 WIB 2025","passed","Fri Mar 21 23:46:22 WIB 2025","Technical Login Tests","login.test.js","",""
"","6185","TC.002 - Login with invalid credentials","","Fri Mar 21 23:46:23 WIB 2025","passed","Fri Mar 21 23:46:29 WIB 2025","Technical Login Tests","login.test.js","",""
"","6218","TC.004 - Login with wrong username","","Fri Mar 21 23:46:35 WIB 2025","passed","Fri Mar 21 23:46:42 WIB 2025","Technical Login Tests","login.test.js","",""
"","5837","TC.010 - Login with SQL Injection","","Fri Mar 21 23:47:16 WIB 2025","passed","Fri Mar 21 23:47:22 WIB 2025","Technical Login Tests","login.test.js","",""
"","5967","TC.009 - Login with special character in password","","Fri Mar 21 23:47:10 WIB 2025","passed","Fri Mar 21 23:47:16 WIB 2025","Technical Login Tests","login.test.js","",""
